@current I've got the live stream going #current....awesome!	positive
Current TV is pretty cool. Streaming Twitter feedback #tweetdebate	positive
#tweetdebate the first debate is about to start	positive
#tweetdebate - good luck both candidates	positive
I can't imagine McCaine beating Obama in a war of words. #tweetdebate	positive
#tweetdebate Awesome first debate question	positive
Obama +1 for swift and wise  #tweetdebate	positive
"+1 for Obama ""Moving fast, moving swiftly"" #tweetdebate"	positive
Obama looks good. #tweetdebate #current	positive
+1 for Obama having 4 clear objectives to his plan #tweetdebate	positive
Looking forward to the twitter storm taking place tonight. #tweetdebate	positive
""" Obama +1 for articulating his plans - initial & recognition #tweetdebate"""	positive
Obama +1 on taxpayer protection and fair shake #tweetdebate	positive
Obama +1 #tweetdebate	positive
#tweetdebate +3 to Obama - the failed economy is because of the last 8 years of Bush and McCain's support for those policies	positive
McCain +1 for plugging Kennedy #tweetdebate	positive
+1 to Obama for trashing of the trickle down #tweetdebate	positive
McCain +1 Kennedy comment #tweetdebate	positive
Obama +1 for bullet pointing his bailout policy clearly #tweetdebate	positive
Obama +2 for specifics #tweetdebate	positive
+1 Obama #tweetdebate	positive
+1 for mcCain #tweetdebate	positive
1st impressions: Obama has come across as more presidential and articulate. #tweetdebate	positive
#tweetdebate"	positive
+1 for Lehrer for calling them both back on track re: recovery plan #tweetdebate	positive
@jowyang #tweetdebate +1 for Obama too for clear objectives but both are still not that clear where they stand.	positive
I <3 lehrer #tweetdebate great move of repeating question	positive
however no dependency on oil would be ideal #tweetdebate	positive
+1 for Jim Lehrer for being a great moderator, everyone drink! #tweetdebate	positive
+2 for Obama making eye contact with the camera #tweetdebate	positive
Obama +1 for equating Republicans with anti-regulation #tweetdebate	positive
McCaine +1 for holding people accountable. but let's start with him! #tweetdebate	positive
Obama +1 pt: We need more responsibility but not just during a crisis. #tweetdebate	positive
#tweetdebate 21st century framework- I like that and it resonates with me as a future minded strategist & leader @barrackobama	positive
mccain +1 for having a sense of humor (he heard him) #tweetdebate	positive
Obama +3 for wanting responsibility all the time #tweetdebate	positive
"Obama: +2 for saying ""we need responsibility all the time, not just during a crisis"" #tweetdebate"	positive
Obama +1 for calling Mccain out on his history against oversight #tweetdebate	positive
@nohype good point!	positive
+3 McCain for looking Presidential #tweetdebate	positive
Obama +1 for holding McCain accountable for his recent record #tweetdebate	positive
+1 pt for McCain for his first direct answer #tweetdebate	positive
"McCain +1 quotable ""I have a fundamental belief in the strength of the American worker."" #tweetdebate"	positive
#tweetdebate +1 for Obama for shooting straight to the root of the ideological issue. +1 for McCain for admitting the Republican failure.	positive
"McCain +3 quotable - symptoms of this ""disease"" he calls it - resp. to runaway. spending #tweetdebate"	positive
Mccain +1 for directly differentiating his fiscal policy against Obama (cut spending) #tweetdebate	positive
+1 Obama for calling out the $$ in tax cuts vs $$ in earmarks #tweetdebate	positive
Obama +2 for putting earmarks in perspective #tweetdebate	positive
@current #current +1 Obama for bringing up corporate tax cuts at the expense of the middle class. Growing from the bottom up. I like it.	positive
Obama +2 earmark nonsense compared to reckless tax cuts #tweetdebate	positive
Obama +1 for tax comment #tweetdebate	positive
McCain +1 for blowing the whistle on pork barrel spending #tweetdebate	positive
Obama +2 300 billion dollars wow Tax cut for ordianry American  #tweetdebate	positive
Grow the economy from the bottom up. +3 to Obama for a nice sound bite. #tweetdebate	positive
#tweetdebate -1 for McCain for repeating a lot of his talking points *verbatim* he already used since the Republican convention.	positive
Mccain +2 for successful counter to Obama #tweetdebate	positive
mccain +2 when obama suspended spending #tweetdebate	positive
"Mccain +1 ""I want to cut spending and taxes"" #tweetdebate"	positive
#tweetdebate"	positive
+2 pts for Obama for pouncing back on McCain #tweetdebate	positive
+10 Obama for calling out the tax breaks given for outsourcing!!! #tweetdebate	positive
@current #current THe candidates are starting to interact more with each other. This is good.	positive
#tweetdebate +2 for Obama re middle class income decline	positive
Obama +2 for telling McCain what's up. #tweetdebate	positive
+1 obama for saying removing earmarks not only way to get back on track #tweetdebate	positive
Obama +2 for tackling headon the McCain lie about raising taxes #tweetdebate	positive
Agreed we can't afford another four #tweetdebate	positive
#tweetdebate oops... should have been +2 Obama clarifies McCain's fuzzy m	positive
+1 McCain for further explaining the tax plan that Obama is harping on. #tweetdebate	positive
Obama +1 for laying out his own plan accurately and rebutting earmarks #tweetdebate	positive
Face it Obama is going to win regardless of debates, He has the youth voters on his side. #current #tweetdebate	positive
"#tweetdebate Sen O doesn't know what ""rich"" is. How many houses does McPain have again?"	positive
Sen McCain would be a very popular President - $5000 tax refund per family!  #tweetdebate	positive
Mccain +2 for McCain's sticking $932 MILLION to Obama, putting him on the defense, while explaining his tax policy. #tweetdebate #current	positive
Obama +1 for good response to tax / rich challenge #tweetdebate	positive
Obama +2 for successful response to the business tax issue #tweetdebate	positive
+2 Obama for not letting McCain off the hook re: tax cuts #tweetdebate	positive
Obama +3 for loop hole's. That's exactly how it is! #tweetdebate	positive
+5 Obama for teling the truth about business taxes. You just want to add a tax benefit ON TOP of the loopholes #tweetdebate	positive
+1 Obama calling out taxation on health benefits #current #tweetdebate	positive
Obama +2 better argument comp to Mccain, more comprehensive for me #Tweetdebate	positive
#tweetdebate 95 percent of you will get a tax break.  +5 for Obama's detail	positive
they're both getting a little fired up.  #Tweetdebate	positive
Obama +3 zing taxes on health care benefits #tweetdebate	positive
"+1 mccain for saying ""festooned"" #tweetdebate"	positive
McCain +1 for using concrete examples. #tweetdebate	positive
McCain +3 liking his proposed tax system #tweetdebate	positive
Current TV stuff is kind of neat, but will opt for the HD feed on CNN #tweetdebate Will DVR most of the last hour due to Sharks game	positive
Obama +1 for wanting to close corporate tax loopholes - not just cut taxes. #tweetdebate	positive
#tweetdebate +2 Obama counters McCain's assertion of taxation	positive
+1 obama for mentioning $4b oil co tax cuts   #tweetdebate	positive
#tweetdebate Obama is insisting that McCain back up his claims with facts.	positive
#tweetdebate McPain is getting pwnd ahahah	positive
"Obama +3 quotable - ""energy indepedence"" ok. #tweetdebate"	positive
vote obama!#tweetdebate	positive
Obama energy independence +3 #tweetdebate	positive
Obama +1 for asserting clear priorities #tweetdebate	positive
#tweetdebate Obama mntions energy independence and health care as budget priorities -- also education	positive
Yes, we have to invest in science, math and technology.  We are 25th in the world in those now.  HORRIBLE.  Good point Obama #tweetdebate	positive
Obama +2 for education and science and infrastructure comment #tweetdebate	positive
Obama +1 for infrastructure. #tweetdebate	positive
"whoa! Obama ""broadband lines""  think Mccain caught that? #tweetdebate"	positive
New electrical grid - interesting - I haven't heard Obama talk about that before #debate08 #tweetdebate #current #momocrats	positive
+1 mccain talking about how far obama is across the aisle #tweetdebate	positive
Obama +3 for having most liberal voting record #tweetdebate	positive
mccain +1 for eliminating ethanol subsidies #tweetdebate	positive
+5 Obama for alt energy, rural broadband, affordable college, healthcare #current #tweetdebate	positive
McCain +3 for good sound bite about reaching so far across the aisle from that far left #tweetdebate	positive
